geneA_genesym	geneB_genesym
NDST2	SCGB2A2
FSTL1	SCGB2A2
LRIG1	SCGB2A2
SCGB2A2	TPST1
FAM55C	SCGB2A2
GPC3	SCGB2A2
MGAT5	SCGB2A2
GDF11	SCGB2A2
DNAJC1	SCGB2A2
LEPREL2	SCGB2A2
GCNT1	SCGB2A2
PXDN	SCGB2A2
GYLTL1B	SCGB2A2
LARGE	SCGB2A2
HPSE	SCGB2A2
ODZ3	SCGB2A2
CHST3	SCGB2A2
SCCPDH	SCGB2A2
SCGB2A2	ST8SIA4
ERN1	SCGB2A2
SCGB2A2	TMEM2
EPHB4	SCGB2A2
SCGB2A2	SLC25A17
SCGB2A2	TCTN1
IDUA	SCGB2A2
SCGB2A2	TMEM59L
GXYLT2	SCGB2A2
ECEL1	SCGB2A2
SCGB2A2	XYLT2
PCOLCE2	SCGB2A2
B4GALNT3	SCGB2A2
NME2	SLC48A1
HSP90AA4P	SLC48A1
SNN	TMX1
SNN	TES
MTDH	SNN
C1orf131	SNN
SF3B3	SNRPE
LSM2	SNRPE
PRPF3	SNRPE
SF3B1	SNRPE
PRMT5	SNRPE
SNRPE	TOE1
GEMIN5	SNRPE
PRPF6	SNRPE
DDX20	SNRPE
SNRNP200	SNRPE
PRPF8	SNRPE
HTATSF1	SNRPE
SNRPE	TFIP11
SNRPE	TUT1
SF3B2	SNRPE
CWF19L2	SNRPE
EFTUD2	SNRPE
PRPF4	SNRPE
RSRC1	SNRPE
SNRNP35	SNRPE
DDX42	SNRPE
LOC100130932	SNRPE
SNRPE	XAB2
GPATCH1	SNRPE
DDX46	SNRPE
FTSJD1	SNRPE
DHX35	SNRPE
GEMIN4	SNRPE
GCFC1	SNRPE
SLC4A1AP	SNRPE
CRNKL1	SNRPE
SART3	SNRPE
SNRPE	ZNF830
CWF19L1	SNRPE
CDC5L	SNRPE
SF3A1	SNRPE
DDX23	SNRPE
SF3A3	SNRPE
SNRPE	SNUPN
PRPF31	SNRPE
GEMIN8	SNRPE
C2orf3	SNRPE
AQR	SNRPE
SNRPA	SNRPE
SNRPB2	SNRPE
SNRPE	WDR83
GEMIN6	SNRPE
MEPCE	SNRPE
SNRPE	TGS1
SART1	SNRPE
SNRPE	SNW1
CDC40	SNRPE
AKAP7	SNRPE
SNRNP48	SNRPE
SNRPD2	SNRPE
CLNS1A	SNRPE
