protein_A	protein_B
CHD3	TRIM28
CHD8	CREB1
CHD8	RCHY1
CHD8	TCERG1
CHD8	TERF2
CHD8	TP53
CHD8	WDR5
CHD8	ZNF143
CHD9	ESR1
CHD9	RXRA
CIAO1	DDX20
CIAO1	GTF3C3
CIAO1	HDAC2
CIAO1	HLTF
CIAO1	MCM3
CIAO1	MCM5
CIAO1	MRPL24
CIAO1	TRIM28
CIAO1	WDR5
CIRBP	CNOT3
CIRBP	GTF2F1
CIRBP	KHDRBS1
CIRBP	KHSRP
CIRBP	PAXIP1
CIRBP	SF3A2
CIRBP	TPR
CLASP1	CLIP1
CLIC1	ESR1
CLIC1	THRA
CLIP1	CLIP4
CLIP4	TAF1
CLPB	COPS6
CLPB	HDAC11
CLPB	HGS
CLPB	SMARCE1
CLPB	TERF2
CLPB	TTF2
CLPB	VWF
CLTC	DAB2
CLTC	EP300
CLTC	ESR1
CLTC	HDAC5
CLTC	HGS
CLTC	IKBKB
CLTC	MYB
CLTC	NFKB2
CLTC	NFKBIB
CLTC	NFKBIE
CLTC	NPM1
CLTC	PAXIP1
CLTC	REL
CLTC	RELA
CLTC	SHC1
CLTC	SYNJ1
CLTC	TANK
CLTC	TFE3
CLTC	TRADD
CLTC	XRCC6
CNBP	CUX1
CNBP	DHX9
CNBP	IGF2BP2
CNBP	IGF2BP3
CNBP	NPM1
CNBP	PABPC3
CNBP	PURA
CNBP	SYNCRIP
CNOT3	CNOT8
CNOT3	CREBBP
CNOT3	FHL2
CNOT4	CNOT8
CNOT4	EP300
CNOT8	MCM7
CNOT8	TNRC6A
COPE	ECT2
COPE	NPM1
COPE	PAXIP1
COPE	RCHY1
COPE	TSG101
COPS2	CPSF1
COPS2	CREBBP
COPS2	DTL
COPS2	EP300
COPS2	ERCC3
COPS2	ING1
COPS2	ING2
COPS2	IRF8
COPS2	JUN
COPS2	MED23
COPS2	NCOR1
COPS2	NPM1
COPS2	RFWD2
COPS2	RXRA
COPS2	THRA
COPS2	TP53
COPS2	VDR
COPS3	DDB2
COPS3	DTL
COPS3	IKBKB
COPS3	KLHL18
COPS3	RBX1
COPS3	RFWD2
COPS6	CPSF1
COPS6	DDX3X
