TF	genetarget
CCNB1	HELLS
CCNB1	HMMR
CCNB1	HPRT1
CCNB1	KIF14
CCNB1	KIF20A
CCNB1	KIF4A
CCNB1	MCAM
CCNB1	MKI67
CCNB1	MPP6
CCNB1	MSH2
CCNB1	MTHFD1L
CCNB1	NDUFA4L2
CCNB1	NEIL3
CCNB1	NME1-NME2
CCNB1	NUP155
CCNB1	PAICS
CCNB1	PCNA
CCNB1	PDCD2
CCNB1	PIF1
CCNB1	PLK4
CCNB1	POLA1
CCNB1	POLQ
CCNB1	PRDX4
CCNB1	PRIM1
CCNB1	PSRC1
CCNB1	PTGES3
CCNB1	PTTG1
CCNB1	RAN
CCNB1	RFC4
CCNB1	RFC5
CCNB1	SAAL1
CCNB1	SEC16A
CCNB1	SERPING1
CCNB1	SGOL2
CCNB1	SLBP
CCNB1	SLC25A15
CCNB1	SLC7A5
CCNB1	SMARCC1
CCNB1	SMC2
CCNB1	SNRPD1
CCNB1	TIMELESS
CCNB1	TK1
CCNB1	UBE2C
CCNB1	UCK2
CCNB1	UHRF1
CCNB1	WDHD1
CCNB1	XPO5
CCNB1	ZNF326
CCNT2	AFF4
CCNT2	C2orf49
CCNT2	EIF4A2
CCNT2	GOPC
CCNT2	PTGES2
CCNT2	SPAST
CCNT2	BCKDHB
CCNT2	CACNA1S
CCNT2	CDK4
CCNT2	CSNK1A1
CCNT2	FANCG
CCNT2	LIG3
CCNT2	P2RY6
CCNT2	PHKG2
CCNT2	PPM1B
CCNT2	PVRL2
CCNT2	RANGAP1
CCNT2	RFX1
CCNT2	TUFM
CCNT2	SUCLG2
CCNT2	PDS5A
CCNT2	DENND5A
CCNT2	DNAJC16
CCNT2	GDE1
CCNT2	OAZ3
CCNT2	WRAP53
CCNT2	CACNA2D3
CCNT2	UBQLN4
CCNT2	IPPK
CCNT2	DCTPP1
CCNT2	C4orf29
