Feature	Gene	Type	Neighbor_inData	NumNeigh_inData
AP2A1_mrna	AP2A1	mrna	ELF1_prot;HTATSF1_prot;MAZ_prot;PXN_prot;RELA_prot;RXRB_prot;SMC3_prot;TNRC6A_prot	8
AP2B1_prot	AP2B1	prot	KIF5B_mrna;MAP3K1_mrna;NEK9_mrna;PVR_mrna;UBFD1_mrna;ABL1_prot;CLTC_prot;DAB2_prot;EDC4_prot;LNPEP_prot;SHC1_prot;SMAD4_prot	12
AP2S1_mrna	AP2S1	mrna	ALG1_prot;ARPC1A_prot;ASH1L_prot;BAZ2B_prot;COPE_prot;EIF5A_prot;EPRS_prot;GNB2_prot;GSTO1_prot;GTF2F1_prot;HMG20B_prot;KBTBD4_prot;MAZ_prot;MRPL23_prot;MRPS12_prot;NONO_prot;NSMAF_prot;POLR2E_prot;PRPF4_prot;PSMD11_prot;PSPC1_prot;PTBP1_prot;RNPEP_prot;SMARCA2_prot;SSRP1_prot;VARS_prot;XPNPEP1_prot;ZHX2_prot;ZNF207_prot	29
AP3B1_mrna	AP3B1	mrna	TANK_prot;UBTF_prot	2
AP3B2_mrna	AP3B2	mrna	HDAC1_prot	1
AP3M2_mrna	AP3M2	mrna	HDAC2_prot	1
AP4B1_mrna	AP4B1	mrna	RELA_prot;TFAP2C_prot	2
AP4M1_mrna	AP4M1	mrna	HMG20B_prot;SMC3_prot	2
AP4S1_mrna	AP4S1	mrna	NRF1_prot	1
APAF1_mrna	APAF1	mrna	CNOT8_prot;HDAC2_prot;SMC3_prot;TP53_prot	4
APAF1_prot	APAF1	prot	WDFY3_prot	1
APBB1IP_prot	APBB1IP	prot	ARHGAP30_mrna;CCDC71_mrna;CD300A_mrna;CD48_mrna;CD52_mrna;ITGB2_mrna;LYL1_mrna;MYO1G_mrna;NCKAP1L_mrna;PLCG2_mrna	10
APITD1_prot	APITD1	prot	AK2_mrna;BUB3_mrna;CDCA5_mrna;CFLAR_mrna;CHEK2_mrna;EBNA1BP2_mrna;GINS2_mrna;SLC25A15_mrna;TIMELESS_mrna;TOP3A_prot	10
APOE_mrna	APOE	mrna	AR_prot;ESR1_prot;JUN_prot;TFAP2A_prot;USF2_prot	5
